,symbol,name,price,exchange
345,MA,Mastercard Inc,395.65,New York Stock Exchange
346,AWI,Armstrong World Industries Inc,104.03,New York Stock Exchange
347,IYR,iShares U.S. Real Estate,97.98,New York Stock Exchange Arca
348,ADP,Automatic Data Processing Inc,186.62,Nasdaq Global Select
349,TZA,Direxion Small Cap Bear 3X Shares,30.18,New York Stock Exchange Arca
350,BBVA,Banco Bilbao Vizcaya Argentaria S.A.,5.46,New York Stock Exchange
351,MNST,Monster Beverage Corp,96.47,Nasdaq Global Select
352,FEZ,SPDR DJ Euro STOXX 50 Etf,47.3,New York Stock Exchange Arca
353,AER,AerCap Holdings NV,60.32,New York Stock Exchange
354,GTN,Gray Television Inc,20.21,New York Stock Exchange
355,EWY,iShares Inc MSCI South Korea,92.89,New York Stock Exchange Arca
356,CDE,Coeur Mining Inc,9.61,New York Stock Exchange
357,NCR,NCR Corp,45.96,New York Stock Exchange
358,AMT,American Tower Corp,251.95,New York Stock Exchange
359,PSTG,Pure Storage Inc,20.83,New York Stock Exchange
360,SJM,J M Smucker Co,130.49,New York Stock Exchange
361,ETN,Eaton Corporation PLC,144.53,New York Stock Exchange
362,DUK,Duke Energy Corp,98.57,New York Stock Exchange
363,CL,Colgate-Palmolive Co,78.77,New York Stock Exchange
364,IDRA,Idera Pharmaceuticals Inc,1.25,Nasdaq Capital Market
365,KAR,KAR Auction Services Inc,15.31,New York Stock Exchange
366,NEE,Nextera Energy Inc,77.09,New York Stock Exchange
367,PXD,Pioneer Natural Resources Co,157.22,New York Stock Exchange
368,ADM,Archer-Daniels-Midland Co,63.1,New York Stock Exchange
369,VTR,Ventas Inc,55.26,New York Stock Exchange
370,VMW,VMware Inc,160.61,New York Stock Exchange
371,RIGL,Rigel Pharmaceuticals Inc,3.78,Nasdaq Global Select
372,DKS,Dick's Sporting Goods Inc,82.71,New York Stock Exchange
373,WTI,W&T Offshore Inc,3.35,New York Stock Exchange
374,LRCX,Lam Research Corp,638.05,Nasdaq Global Select
375,NXPI,NXP Semiconductors NV,198.65,Nasdaq Global Select
376,CE,Celanese Corp,156.19,New York Stock Exchange
377,HUN,Huntsman Corp,28.79,New York Stock Exchange
378,CSTM,Constellium SE,15.87,New York Stock Exchange
379,VER,VEREIT Inc,41.26,New York Stock Exchange
380,GPK,Graphic Packaging Holding Co,18.46,New York Stock Exchange
381,WELL,Welltower Inc,75.52,New York Stock Exchange
382,TJX,TJX Companies Inc,69.95,New York Stock Exchange
383,PLD,Prologis Inc,115.1,New York Stock Exchange
384,KSS,Kohls Corp,60.56,New York Stock Exchange
385,XEC,Cimarex Energy Co,67.26,New York Stock Exchange
386,TLT,iShares 20+ Year Treasury Bond ETF,138.73,Nasdaq Global Market
387,DRI,Darden Restaurants Inc,143.87,New York Stock Exchange
